Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
27/05/2025 15:39,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,3,4,2,3,3,2,4,3,3,4
27/05/2025 15:40,B27,Beberapa kali dalam sehari,4,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,4,4,4,4,4,4
27/05/2025 15:41,B28,Sehari sekali,2,Sore,1,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,3,3,3,5,4,4,3,3,4,4
27/05/2025 15:42,B27,Sehari sekali,2,Sore,4,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
27/05/2025 16:04,B27,Beberapa kali dalam satu minggu,2,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,5,5,5,5,5,5,5,5,5,5
27/05/2025 16:05,B27,Beberapa kali dalam satu minggu,4,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,3,4,3,4,4,4,4,4,4,4
27/05/2025 16:06,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan cepat saji,Variasi makanan,3,3,3,3,3,3,3,3,3,3
27/05/2025 16:06,B27,Beberapa kali dalam satu minggu,4,Siang,5,Rp 26.000 - Rp 30.000,Makanan cepat saji,Variasi makanan,4,4,4,4,4,4,3,4,4,4
27/05/2025 16:07,B27,Beberapa kali dalam satu minggu,4,Siang,4,> Rp 30.000,Makanan cepat saji,Variasi makanan,4,4,4,4,4,4,4,4,4,4
27/05/2025 16:07,B27,Sehari sekali,2,Siang,1,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,3,4
27/05/2025 16:08,B27,Beberapa kali dalam satu minggu,1,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,2,4
27/05/2025 16:08,B27,Sehari sekali,1,Siang,1,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,4,4,4,4,2,3
27/05/2025 16:09,B27,Beberapa kali dalam satu minggu,3,Siang,1,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,4,4,4,4,4,4
27/05/2025 16:10,B27,Beberapa kali dalam satu minggu,4,Siang,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,4,4,4,4,2,3
27/05/2025 16:10,B27,Jarang atau tidak pernah,1,Sore,3,Rp 16.000 - Rp 20.000,Cemilan ringan,Variasi makanan,4,4,4,4,4,4,4,3,4,4
27/05/2025 16:10,B27,Beberapa kali dalam satu minggu,2,Sore,5,Rp 21.000 - Rp 25.000,Cemilan ringan,Rasa makanan,3,3,3,4,3,3,4,4,3,2
27/05/2025 16:11,B27,Jarang atau tidak pernah,0,Pagi,2,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Fasilitas,4,3,4,3,4,3,4,4,4,4
27/05/2025 16:12,B27,Sehari sekali,2,Siang,1,Rp 26.000 - Rp 30.000,Makanan cepat saji,Variasi makanan,3,3,3,3,3,3,3,3,3,3
27/05/2025 16:12,B27,Sehari sekali,3,Sore,1,Rp 26.000 - Rp 30.000,Cemilan ringan,Rasa makanan,4,4,4,4,4,4,4,4,2,4
27/05/2025 16:13,B28,Sehari sekali,2,Pagi,1,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,5,5,5,5,5,5,5,5,5,5
27/05/2025 16:13,B27,Beberapa kali dalam satu minggu,2,Siang,2,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,5,4,4,4,1,4
27/05/2025 16:13,B27,Sehari sekali,1,Siang,2,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Rasa makanan,4,4,4,4,4,4,4,4,1,4
27/05/2025 16:14,B27,Beberapa kali dalam satu minggu,2,Sore,1,> Rp 30.000,Minuman,Variasi makanan,4,4,4,4,4,4,4,4,1,3
27/05/2025 16:15,B27,Sehari sekali,2,Sore,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,1,2
